og	precision1	recall1	contradiction1	precision2	recall2	contradiction2	precision1==precision2	recall1==recall2	contradiction1==contradiction2
89	1.0	0.75	0.0	1.0	0.75	0.0	True	True	True
135	1.0	0.75	0.0	1.0	0.75	0.0	True	True	True
136	1.0	0.75	0.0	1.0	0.75	0.0	True	True	True
450	0.7352941176470589	0.7142857142857143	0.2571428571428571	0.7352941176470589	0.7142857142857143	0.2571428571428571	True	True	True
451	0.7352941176470589	0.7142857142857143	0.2571428571428571	0.7352941176470589	0.7142857142857143	0.2571428571428571	True	True	True
452	0.7352941176470589	0.7142857142857143	0.2571428571428571	0.7352941176470589	0.7142857142857143	0.2571428571428571	True	True	True
453	0.7352941176470589	0.7142857142857143	0.2571428571428571	0.7352941176470589	0.7142857142857143	0.2571428571428571	True	True	True
454	0.7352941176470589	0.7142857142857143	0.2571428571428571	0.7352941176470589	0.7142857142857143	0.2571428571428571	True	True	True
455	0.7352941176470589	0.7142857142857143	0.2571428571428571	0.7352941176470589	0.7142857142857143	0.2571428571428571	True	True	True
470	0.7352941176470589	0.7142857142857143	0.2571428571428571	0.7352941176470589	0.7142857142857143	0.2571428571428571	True	True	True
473	0.7352941176470589	0.7142857142857143	0.2571428571428571	0.7352941176470589	0.7142857142857143	0.2571428571428571	True	True	True
474	0.7352941176470589	0.7142857142857143	0.2571428571428571	0.7352941176470589	0.7142857142857143	0.2571428571428571	True	True	True
475	0.7352941176470589	0.7142857142857143	0.2571428571428571	0.7352941176470589	0.7142857142857143	0.2571428571428571	True	True	True
486	0.7352941176470589	0.7142857142857143	0.2571428571428571	0.7352941176470589	0.7142857142857143	0.2571428571428571	True	True	True
502	0.6727272727272727	0.6607142857142857	0.32142857142857145	0.6727272727272727	0.6607142857142857	0.32142857142857145	True	True	True
503	0.7818181818181819	0.7678571428571429	0.21428571428571427	0.7818181818181819	0.7678571428571429	0.21428571428571427	True	True	True
507	0.7818181818181819	0.7678571428571429	0.21428571428571427	0.7818181818181819	0.7678571428571429	0.21428571428571427	True	True	True
508	0.7692307692307693	0.7142857142857143	0.21428571428571427	0.7692307692307693	0.7142857142857143	0.21428571428571427	True	True	True
516	0.8	0.7619047619047619	0.19047619047619047	0.8	0.7619047619047619	0.19047619047619047	True	True	True
528	0.7972972972972973	0.7023809523809523	0.17857142857142858	0.7972972972972973	0.7023809523809523	0.17857142857142858	True	True	True
534	0.6101694915254238	0.6	0.38333333333333336	0.6101694915254238	0.6	0.38333333333333336	True	True	True
544	0.8487394957983193	0.8416666666666667	0.15	0.8487394957983193	0.8416666666666667	0.15	True	True	True
547	0.9347826086956522	0.7818181818181819	0.05454545454545454	0.7818181818181819	0.7818181818181819	0.21818181818181817	False	True	False
553	0.9347826086956522	0.7818181818181819	0.05454545454545454	0.9454545454545454	0.9454545454545454	0.05454545454545454	False	False	True
554	0.9456521739130435	0.7909090909090909	0.045454545454545456	0.9545454545454546	0.9545454545454546	0.045454545454545456	False	False	True
556	0.863013698630137	0.8590909090909091	0.13636363636363635	0.863013698630137	0.8590909090909091	0.13636363636363635	True	True	True
558	0.8904109589041096	0.8863636363636364	0.10909090909090909	0.8904109589041096	0.8863636363636364	0.10909090909090909	True	True	True
559	0.6735751295336787	0.5909090909090909	0.2863636363636364	0.5909090909090909	0.5909090909090909	0.4090909090909091	False	True	False
561	0.92	0.8041958041958042	0.06993006993006994	0.8041958041958042	0.8041958041958042	0.1958041958041958	False	True	False
564	0.7436708860759493	0.6456043956043956	0.22252747252747251	0.6456043956043956	0.6456043956043956	0.3543956043956044	False	True	False
565	0.9612903225806452	0.8186813186813187	0.03296703296703297	0.967032967032967	0.967032967032967	0.03296703296703297	False	False	True
568	0.8070953436807096	0.8	0.1912087912087912	0.8070953436807096	0.8	0.1912087912087912	True	True	True
